Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
tenofovir disoproxil,Tenofovir,245 mg once daily,"30–50	245 mg every 48 hours or 132 mg (4 scoops) once daily.
20–30	245 mg every 72–96 hours or 66 mg (2 scoops) once daily.
10–20	245 mg every 72–96 hours or 33 mg (1 scoop) once daily.
<10	245 mg every 72–96 hours or 33 mg (1 scoop) once daily. Use with caution."
tenoxicam,Tenoxicam,20 mg once daily,"20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
terazosin,Terazosin,"Hypertension: 1–20 mg once daily

APD/CAPD	Not dialysed. Dose as in normal renal
function.
HD	Not dialysed. Dose as in normal renal function.
HDF/High flux Unknown dialysability. Dose as in

BPH: 1–10 mg once daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
terbinafine,Terbinafine,"250 mg daily
Topical: apply once or twice daily","20–50	100% on alternate days.
10–20	100% on alternate days.
<10	100% on alternate days."
terbutaline sulphate,Terbutaline,"Oral: 2.5–5 mg 3 times daily
SC/IM/IV: 250–500 micrograms up to 4 times daily
IV infusion: 90–300 micrograms/hour
Turbohaler: 500 micrograms (1 inhalation) up to 4 times daily
Nebulisation: 5–10 mg 2–4 times daily, or more frequently","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
teriflunomide,Teriflunomide,14 mg daily,"20–50	Dose as in normal renal function.
10–20	Use with caution. See ‘Other information’.
<10	Use with caution. See ‘Other information’."
teriparatide,Teriparatide,20 mcg daily,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
terlipressin,Terlipressin,2 mg stat dose followed by 1–2 mg every 4–6 hours when required (until bleeding is controlled) for up to 72 hours Doses are expressed as acetate,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
tetracycline,Tetracycline,250–500 mg 4 times a day Acne: 500 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	250 mg 4 times a day"
thalidomide,Thalidomide,"200 mg daily
Unlicensed dose: 50–400 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
theophylline,Theophylline,0.01–1 mcg/kg/minute,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
thiotepa,Thiotepa,"Bladder, intravesical instillations: 30–60 mg
Intracavitary instillation: 30–60 mg or 0.6–0.8 mg/ kg
IM: 15–30 mg
Intrathecal: 10–15 mg
Other doses depend on indication or local protocol","20–50	IM: Use a reduced dose with caution.
10–20	IM: Use a reduced dose with caution.
<10	IM: Use a reduced dose with caution."
tiagabine,Tiagabine,15–45 mg daily in 3 divided doses if dose >30 mg,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
tiaprofenic acid,Tiaprofenic,"300 mg twice daily
Or 200 mg three times a day","20–50	Dose as in normal renal function, but avoid if possible.
10–20	Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only use if on dialysis."
ticagrelor,Ticagrelor,"Oral:
Hypertension: 25–50 mg daily
Angina: 100 mg daily in 1 or 2 divided doses
Arrhythmias: 50–100 mg daily
Migraine prophylaxis (unlicensed): 50–200 mg daily in divided doses.
IV:
Arrhythmias: 2.5 mg at a rate of 1 mg/min repeated at 5 minute intervals to a maximum of 10 mg
Infusion:
150 mcg/kg, repeated every 12 hours if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
tigecycline,Tigecycline,"Loading dose of 100 mg, then 50 mg twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
timentin (ticarcillin / clavulanic acid),Timentin,"3.2 g every 6–8 hours, increased to every 4 hours in severe infections","30–60	3.2 g every 8 hours.
10–30	1.6 g every 8 hours.
<10	1.6 g every 12 hours."
timentin (ticarcillin / clavulanic acid),Ticarcillin/Clavulanic,"3.2 g every 6–8 hours, increased to every 4 hours in severe infections","30–60	3.2 g every 8 hours.
10–30	1.6 g every 8 hours.
<10	1.6 g every 12 hours."
timolol maleate,Timolol,"Hypertension: 10–60 mg daily, doses >30 mg in divided doses
Angina: 5–30 mg twice daily
Post MI: 5–10 mg twice daily
Migraine: 10–20 mg daily in 1–2 divided doses","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Start with lowest dose and titrate according to response.
<10	Dose as in normal renal function. Start with lowest dose and titrate according to response."
tinidazole,Tinidazole,1–2 g daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
tinzaparin sodium (lmwh),Tinzaparin,"General surgery: (low-moderate risk) 3500 IU daily
Orthopaedic surgery: (high risk) 50 IU/kg or 4500 IU daily
DVT and PE: 175 IU/kg bodyweight once daily for at least 6 days and until adequate oral anticoagulation is established","20–50	Dose as in normal renal function. See ‘Other information’.
<20	Consider a dose reduction. See ‘Other information’."
tioguanine,Tioguanine,100–200 mg/m2 daily,"20–50	Dose as in normal renal function, use with care. See 'Other information'.
10–20	Dose as in normal renal function, use with care. See 'Other information'.
<10	Dose as in normal renal function, use"
tiotropium,Tiotropium,18 micrograms once daily Respimat: 5 micrograms once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
tipranavir,Tipranavir,500 mg twice daily in combination with ritonavir 200 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
tirofiban,Tirofiban,"Angiography planned for 4–48 hours after diagnosis: Initially 0.4 mcg/kg/minute for 30 minutes then 0.1 mcg/kg/minute for at least 48 hours
Angiography within 4 hours of diagnosis: 25 mcg/kg over 3 minutes then 0.15 mcg/kg/minute for 12–24 hours. Max 48 hours","30–50	Dose as in normal renal function.
10–30	Give 50% of dose.
<10	Give 50% of dose."
tizanidine,Tizanidine,"200 mg in 2 separate injections at weeks 0, 2, and 4 then
maintenance of 200 mg every 2 weeks or 400 mg every 4 weeks","20–50	Dose as in normal renal function.
10–20	Use with caution.
<10	Use with caution."
tobramycin,Tobramycin,"IM/IV: 3 mg/kg/day in 3 divided doses; maximum 5 mg/kg/day in 3–4 divided doses
Urinary tract infections: 2–3 mg/kg daily as a single dose (IM)","20–50	Give 1–2 mg/kg then dose according to serum levels.
10–20	Give 1 mg/kg then dose according to serum levels.
<10	Give 1 mg/kg then dose according to serum levels."
tocilizumab,Tocilizumab,IV: 8 mg/kg every 4 weeks (maximum dose: 800 mg) SC: 162 mg once weekly,"20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution."
tofacitinib citrate,Tofacitinib,5 mg twice daily,"30–50	Dose as in normal renal function.
<30	5 mg once daily."
tolbutamide,Tolbutamide,0.5–2 g daily in divided doses,"20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
tolcapone,Tolcapone,"100 mg three times daily, leave 6 hours between each dose In exceptional circumstances can be increased to 200 mg three times daily","20–50	Dose as in normal renal function.
10–20	Use with caution.
<10	Use with caution."
tolfenamic acid,Tolfenamic,200 mg when first symptoms appear; repeat once after 1–2 hours if satisfactory response is not obtained,"20–50	Dose as in normal renal function.
10–20	Use with caution and monitor renal function.
<10	Avoid."
tolterodine tartrate,Tolterodine,1–2 mg twice daily M/R: 4 mg daily,"30–50	Dose as in normal renal function. Use with caution.
10–30	1 mg twice daily. Use with caution.
<10	1 mg twice daily. Use with caution."
tolvaptan,Tolvaptan,"SIADH: 15–60 mg once daily
ADPKD: 60–120 mg daily in 2 divided doses taken 8 hours apart","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use with care. See ‘Other information’."
topiramate,Topiramate,"Monotherapy: Epilepsy: Initially, 25 mg at night increasing to 50–500 mg daily in 2 divided doses
Adjunctive treatment: Initially, 25–50 mg at night increasing to 200–400 mg daily in 2 divided doses
Migraine: Initially, 25 mg at night. Maintenance, 50–200 mg daily in 2 divided doses","
20–50	Dose as in normal renal function.
10–20	Initially 50% of normal dose and increase according to response.
<10	Initially 50% of normal dose and increase according to response."
topotecan,Topotecan,"IV: 0.75–1.5 mg/m2 for 5 days, repeated every 3 weeks
Oral: 2.3 mg/m2 for 5 days, repeated every 3 weeks","IV formulation:
40–60	Dose as in normal renal function.
20–39	0.75 mg/m2/day. See 'Other"
torasemide,Torasemide,2.5–40 mg once daily (varies according to indication) Maximum dose: 200 mg daily in resistant oedema in renal patients,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
toremifene,Toremifene,60 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
trabectedin,Trabectedin,"Soft tissue sarcoma: 1.5 mg/m2
Ovarian cancer: 1.1 mg/m2
Administered at 3 weekly intervals","30–60	Dose as in normal renal function with monotherapy. Avoid with combination therapy.
<30	Avoid. See 'Other information'."
tramadol hydrochloride,Tramadol,"Oral: 50–100 mg up to 4 hourly; maximum 400 mg daily IM/IV: 50–100 mg every 4–6 hours; total daily dose 400 mg
MR: 50–200 mg twice daily XL: 100–400 mg once daily","20–50	Dose as in normal renal function
10–20	50–100 mg every 8 hours initially and titrate dose as tolerated.
<10	50 mg every 8 hours initially and titrate dose as tolerated."
trametinib,Trametinib,2 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.	
<10	Dose as in normal renal function. Use with caution.	"
trandolapril,Trandolapril,0.5–4 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Initial dose 500 mcg once daily, and increase according to response."
tranexamic acid,Tranexamic,"Oral: 1–1.5 g every 8–12 hours (15–25 mg/kg every 8–12 hours)
IV: 0.5–1 g every 8 hours (25–50 mg/kg daily in divided doses)
Dose depends on indication","20–50	IV: 10 mg/kg 12 hourly. Oral: 25 mg/kg 12 hourly.
10–20	IV: 10 mg/kg 24 hourly. Oral: 25 mg/kg 12–24 hourly.
<10	IV: 5 mg/kg 24 hourly. Oral: 12.5 mg/kg 24 hourly."
tranylcypromine,Tranylcypromine,"Initially 10 mg twice daily, can be increased to 30 mg daily if required
Maintenance: 10 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
trastuzumab,Trastuzumab,"4 mg/kg then 2 mg/kg weekly
Or 8 mg/kg initially then 6 mg/kg every 3 weeks
Breast cancer only (SC): 600 mg every 3 weeks
Or according to local policy","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
trazodone hydrochloride,Trazodone,"Depression: 100–300 mg daily; maximum 600 mg daily in divided doses for hospital patients
Anxiety: 75–300 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Start with small doses and increase gradually.
<10	Start with small doses and increase gradually."
treosulfan,Treosulfan,"IV: 3–8 g/m2 every 3–4 weeks
Doses up to 1.5 g/m2 have been given IP
Oral: 400–600 mg/m2/day on days 1–28 then a 4-week rest period
Or according to local protocol","20–50	Use a reduced dose. See 'Other information'.
10–20	Use a reduced dose. See 'Other information'.
<10	Use a reduced dose. See 'Other information'."
tretinoin,Tretinoin,APL: 45 mg/m2 in 2 divided doses,"20–50	25 mg/m2 daily.
10–20	25 mg/m2 daily.
<10	25 mg/m2 daily."
triamcinolone,Triamcinolone,"IM: 40 mg of acetonide; maximum single dose 100 mg Intra-articular: 2.5–40 mg of acetonide, total max 80 mg Intra-dermal: 2–3 mg, maximum 5 mg at any one site, total maximum 30 mg","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
triamterene,Triamterene,150–250 mg daily in divided doses; reduce to alternate days after 1 week,"20–50	Dose as in normal renal function.
10–20	Avoid. See ‘Other information’.
<10	Avoid. See ‘Other information’."
trifluoperazine,Trifluoperazine,"Schizophrenia: Initially 5 mg twice daily, increased by 5 mg after 1 week, then at intervals of 3 days according to response
Anxiolytic and anti-emetic: 2–4 mg daily in divided doses; maximum 6 mg","20–50	Dose as in normal renal function. Start with low dose.
10–20	Dose as in normal renal function. Start with low dose.
<10	Dose as in normal renal function. Start with low dose."
trimethoprim,Trimethoprim,150 mg once daily,"30–50	Dose as in normal renal function.
15–30	PCP: 60 mg/kg twice daily for 3 days then 30 mg/kg twice daily; Other indications: 50% of dose.
<15	PCP: 30 mg/kg twice daily; Other indications: 50% of dose. (This should only be given if haemodialysis facilities are available.)"
trimipramine,Trimipramine,"50–300 mg daily in divided doses
Elderly: 10–25 mg 3 times daily; half the dose should be sufficient for maintenance","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
triptorelin,Triptorelin,"3–3.75 mg every 4 weeks; depends on preparation
11.25 mg every 3 months","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function, but monitor carefully.
<10	Dose as in normal renal function, but monitor carefully."
