virkestoff,atckode,varenavn
apraklonidin,S01EA03,iopidine specific
apraklonidin,S01EA03,iopidine
brimonidin,S01EA05,brimonidin aurora medical
brimonidin,S01EA05,alphagan
brimonidin,S01EA05,brymont
pilokarpin,S01EB01,pilocarpin martindale
pilokarpin,S01EB01,pilokarpin minims
pilokarpin,S01EB01,pilokarpin sa
pilokarpin,S01EB01,pilocarpina allergan
pilokarpin,S01EB01,pilocarpina
karbakolin,S01EB02,miostat intraokulær
acetylkolin,S01EB09,miochol-e
acetylkolin,S01EB09,miochol-e nordic pill
acetazolamid,S01EC01,diamox sr
acetazolamid,S01EC01,diamox amdipharm
acetazolamid,S01EC01,diamox
acetazolamid,S01EC01,acetazolamide
diklofenamid,S01EC02,keveyis
dorzolamid,S01EC03,trusopt
brinzolamid,S01EC04,azopt
brinzolamid,S01EC04,brinzolamide teva
brinzolamid,S01EC04,brinzolamid hexal
brinzolamid,S01EC04,brinzolamide accord
brinzolamid,S01EC04,brinzolamid al
metazolamid,S01EC05,methazolamide
"brinzolamid, kombinasjoner",S01EC54,simbrinza
timolol,S01ED01,oftan
timolol,S01ED01,timosan
timolol,S01ED01,timoptol la gel-forming
betaksolol,S01ED02,betoptic s
betaksolol,S01ED02,betoptic
"timolol, kombinasjoner",S01ED51,fotil
"timolol, kombinasjoner",S01ED51,cosopt
"timolol, kombinasjoner",S01ED51,combigan
"timolol, kombinasjoner",S01ED51,fotil forte
"timolol, kombinasjoner",S01ED51,fixapost
"timolol, kombinasjoner",S01ED51,duotrav
"timolol, kombinasjoner",S01ED51,xalcom
"timolol, kombinasjoner",S01ED51,cosopt sine
"timolol, kombinasjoner",S01ED51,duokopt
"timolol, kombinasjoner",S01ED51,azarga
"timolol, kombinasjoner",S01ED51,tavu
"timolol, kombinasjoner",S01ED51,ganfort
"timolol, kombinasjoner",S01ED51,fixopost
"timolol, kombinasjoner",S01ED51,taptiqom sine
"timolol, kombinasjoner",S01ED51,travoprost/timolol medical valley
"timolol, kombinasjoner",S01ED51,taptiqom
latanoprost,S01EE01,monoprost
latanoprost,S01EE01,xalatan
bimatoprost,S01EE03,lumigan
bimatoprost,S01EE03,latisse
travoprost,S01EE04,travatan
tafluprost,S01EE05,taflotan
tafluprost,S01EE05,taflotan sine
latanoprost og netarsudil,S01EE51,roclanda
atropin,S01FA01,atropin sa
atropin,S01FA01,atropin minims
atropin,S01FA01,atropin naf
cyklopentolat,S01FA04,cyclopentolate minims
cyklopentolat,S01FA04,cyclopentolat alcon
cyklopentolat,S01FA04,mydrilate
cyklopentolat,S01FA04,cyclogyl
cyklopentolat,S01FA04,cyclopentolat minims
cyklopentolat,S01FA04,cyclopentolate minims bausch & lomb
tropikamid,S01FA06,visumidriatic
tropikamid,S01FA06,mydriacyl
tropikamid,S01FA06,tropikamid minims
tropikamid,S01FA06,tropicamide minims bausch & lomb
"cyklopentolat, kombinasjoner",S01FA54,cyklopentolat-fenylefrin sa
"cyklopentolat, kombinasjoner",S01FA54,cyklopentolat-fenylefrin apl
"tropikamid, kombinasjoner",S01FA56,mydane
fenylefrin,S01FB01,phenylephrine minims
fenylefrin,S01FB01,metaoxedrin minims
fenylefrin,S01FB01,neosynephrin-pos
fenylefrin,S01FB01,phenylephrine minims bausch & lomb
fenylefrin,S01FB01,fenylefrin sa
nafazolin,S01GA01,cleye
"tetryzolin, kombinasjoner",S01GA52,spersallerg
natriumkromoglikat,S01GX01,lecrolyn sine
natriumkromoglikat,S01GX01,lomudal
levokabastin,S01GX02,livostin
emedastin,S01GX06,emadine
ketotifen,S01GX08,zaditen
olopatadin,S01GX09,toredin
olopatadin,S01GX09,opatanol
kokain,S01HA01,kokain sa
oksybuprokain,S01HA02,oxibuprokain minims
tetrakain,S01HA03,tetrakain minims
tetrakain,S01HA03,tetracaine minims bausch & lomb
proksymetakain,S01HA04,alcaine
proksymetakain,S01HA04,proxymetacaine minims bausch & lomb
fluorescein,S01JA01,anatera
fluorescein,S01JA01,fluoresceinnatrium minims
fluorescein,S01JA01,ful-glo
"fluorescein, kombinasjoner",S01JA51,lidocaine & fluorescein minims
"fluorescein, kombinasjoner",S01JA51,combiflure
hyaluronsyre,S01KA01,vismed
verteporfin,S01LA01,visudyne
ranibizumab,S01LA04,ximluci
ranibizumab,S01LA04,lucentis
aflibercept,S01LA05,eylea
brolucizumab,S01LA06,beovu
faricimab,S01LA09,vabysmo
andre øyemidler,S01X,glyserol sa
andre øyemidler,S01XA,diquas
andre øyemidler,S01XA,mucosta ophtalmic ud
"natriumklorid, hyperton",S01XA03,natriumklorid i emulgon
"natriumklorid, hyperton",S01XA03,sodium chloride akorn
"natriumklorid, hyperton",S01XA03,omni-sorb
"natriumklorid, hyperton",S01XA03,muro 128
"natriumklorid, hyperton",S01XA03,natriumklorid apl
"natriumklorid, hyperton",S01XA03,natriumklorid sa
natriumedetat,S01XA05,natriumedetat sa
acetylcystein,S01XA08,ilube
acetylcystein,S01XA08,acetylcystein sa
ciklosporin,S01XA18,ciklosporin
ciklosporin,S01XA18,restasis
ciklosporin,S01XA18,ikervis
ciklosporin,S01XA18,cikosporin
indifferente midler,S01XA20,methocel
indifferente midler,S01XA20,oftagel
indifferente midler,S01XA20,lacrisert
indifferente midler,S01XA20,viscotears
indifferente midler,S01XA20,artelac
indifferente midler,S01XA20,vidisic
indifferente midler,S01XA20,lakrimont
indifferente midler,S01XA20,oculac
indifferente midler,S01XA20,hyprosan
indifferente midler,S01XA20,simplex
indifferente midler,S01XA20,tears naturale
indifferente midler,S01XA20,lacrisert euromedica
indifferente midler,S01XA20,methocel specific
indifferente midler,S01XA20,tears naturale
merkaptamin,S01XA21,cystadrops
lifitegrast,S01XA25,xiidra
voretigen neparvovek,S01XA27,luxturna
borsyre,S02AA03,borsyre sa
borsyre,S02AA03,borsyre
ciprofloksacin,S02AA15,cilox
ciprofloksacin,S02AA15,cetraxal
betametason,S02BA07,diprotit
fluocinolonacetonid,S02BA08,otazem
flumetason og antiinfektiva,S02CA02,locorten vioform
flumetason og antiinfektiva,S02CA02,locacorten-vioform
fluocinolonacetonid og antiinfektiva,S02CA05,cetraxal comp
betametason,S03BA03,vistamethasone
betametason,S03BA03,betnesol
hydrokortison og antiinfektiva,S03CA04,terra-cortril polymyxin b
varia,V,neurodoron weleda
varia,V,scleron weleda
varia,V,trias-c
varia,V,hepatodoron weleda
varia,V,gentiana lutea ethanol decoctum weleda
varia,V,hepar-magnesium d6 weleda
varia,V,berberis fructus d3 weleda
varia,V,renodoron weleda
varia,V,erysidoron 1 weleda
gresspollen,V01AA02,alutard sq timotei
gresspollen,V01AA02,staloral 5-gress startpakning
gresspollen,V01AA02,staloral timotei start
gresspollen,V01AA02,oralair startpakning
gresspollen,V01AA02,oralair
gresspollen,V01AA02,grazax
gresspollen,V01AA02,staloral timotei
gresspollen,V01AA02,staloral 5-gress
husstøvmidd,V01AA03,alutard sq dermatophagoid pteronyssinus start
husstøvmidd,V01AA03,alutard sq husstøvmidd mix
husstøvmidd,V01AA03,staloral midd mix start
husstøvmidd,V01AA03,alutard sq husstøvmidd mix start
husstøvmidd,V01AA03,staloral midd mix
husstøvmidd,V01AA03,alutard sq dermatophagoid pteronyssinus
husstøvmidd,V01AA03,acarizax
trepollen,V01AA05,staloral 3-trær start
trepollen,V01AA05,alutard sq bjørk
trepollen,V01AA05,staloral bjørk startpakning
trepollen,V01AA05,itulazax
trepollen,V01AA05,staloral 3-trær
trepollen,V01AA05,staloral bjørk
insekter,V01AA07,alutard sq bigift start
insekter,V01AA07,alutard sq vepsegift start
insekter,V01AA07,alutard sq bigift
insekter,V01AA07,aquagen
insekter,V01AA07,alutard sq vepsegift
insekter,V01AA07,aquagen sq vepsegift
blomster,V01AA10,staloral burot
blomster,V01AA10,staloral burot startpakning
dyr,V01AA11,alutard sq kattehår start
dyr,V01AA11,staloral katt startpakning
dyr,V01AA11,alutard sq hundehår start
dyr,V01AA11,staloral katt
dyr,V01AA11,alutard sq kattehår
dyr,V01AA11,alutard sq hundehår
alle andre terapeutiske midler,V03,fenol flytende sa
alle andre terapeutiske midler,V03A,metylcellulose sa
alle andre terapeutiske midler,V03A,steritalc f4
alle andre terapeutiske midler,V03A,steritalc f2
midler mot forgiftninger,V03AB,succicaptal orifarm
midler mot forgiftninger,V03AB,succicaptal
midler mot forgiftninger,V03AB,zink-trinatrium-pentetat heyl (zn-dtpa)
midler mot forgiftninger,V03AB,natriumsulfatdekahydrat sa
midler mot forgiftninger,V03AB,h-f antidote
midler mot forgiftninger,V03AB,calgonate
midler mot forgiftninger,V03AB,ditripentat-heyl (dtpa)
ipekakuanharot,V03AB01,brekkmiddel til barn naf
edetater,V03AB03,sodio calcio edetato s.a.l.f.
pralidoksim,V03AB04,contrathion
tiosulfat,V03AB06,tiosulfat naf
dimerkaprol,V03AB09,dimaval
obidoksim,V03AB13,toxogonin nordic pill
obidoksim,V03AB13,toxogonin
protamin,V03AB14,protaminsulfat leo pharma
nalokson,V03AB15,ventizolve
nalokson,V03AB15,nalokson sa
nalokson,V03AB15,naloxon hameln
nalokson,V03AB15,naloxon b. braun
nalokson,V03AB15,nyxoid
etanol,V03AB16,alkohol-konzentrat braun
etanol,V03AB16,steril sprit naf
metyltioninklorid,V03AB17,methylthioninium chloride proveblue
metyltioninklorid,V03AB17,metiblo
fysostigmin,V03AB19,anticholium nordic prime
fysostigmin,V03AB19,anticholium specific
fysostigmin,V03AB19,anticholium unimedic
fysostigmin,V03AB19,anticholium
kaliumjodid,V03AB21,kaliumjodid serb
kaliumjodid,V03AB21,kaliumiodid lannacher
kaliumjodid,V03AB21,kaliumjodid recip
kaliumjodid,V03AB21,jodix
digitalisantitoksin,V03AB24,digifab
flumazenil,V03AB25,flumazenil hameln
flumazenil,V03AB25,flumazenil fresenius kabi
cyanidblått,V03AB31,radiogardase-cs
glutation,V03AB32,glutathion liposomal heidelberger chlor
glutation,V03AB32,readisorb liposomal glutathione
glutation,V03AB32,tationil
glutation,V03AB32,tad
glutation,V03AB32,ridutox
hydroksokobalamin,V03AB33,cyanokit
fomepizol,V03AB34,fomepizole serb
sugammadeks,V03AB35,bridion
idarusizumab,V03AB37,praxbind
deferoksamin,V03AC01,desferal
deferipron,V03AC02,ferriprox
deferasiroks,V03AC03,exjade
deferasiroks,V03AC03,deferasirox sandoz
deferasiroks,V03AC03,deferasirox accord
polystyrensulfonat,V03AE01,resonium-calcium
sevelamer,V03AE02,sevelamer sandoz
sevelamer,V03AE02,renvela
sevelamer,V03AE02,sevelamer mylan
lantanumkarbonat,V03AE03,fosrenol
kalsiumacetat og magnesiumkarbonat,V03AE04,osvaren
sukroferrioksihydroksid,V03AE05,velphoro
patiromerkalsium,V03AE09,veltassa
natriumsirkoniumsyklosilikat,V03AE10,lokelma
midler som motvirker toksisitet av antineoplastiske midler,V03AF,prefolic
mesna,V03AF01,uromitexan
deksrazoksan,V03AF02,savene
kalsiumfolinat,V03AF03,kalsiumfolinat sa
kalsiumfolinat,V03AF03,calciumfolinat
kalsiumfolinat,V03AF03,calciumfolinate teva
kalsiumfolinat,V03AF03,kalsiumfolinat pfizer
rasburikase,V03AF07,fasturtec
glukarpidase,V03AF09,voraxaze
natriumfosfat,V03AG05,phosphate-sandoz
diazoksid,V03AH01,proglicem
diazoksid,V03AH01,proglycem
medisinske gasser,V03AN,medisinsk luft air liquide
oksygen,V03AN01,medisinsk oksygen air liquide
oksygen,V03AN01,conoxia
oksygen,V03AN01,medisinsk oksygen nippon gases scandinavia
medisinsk luft,V03AN05,airapy
medisinsk luft,V03AN05,medisinsk luft nippon gases scandinavia
andre terapeutiske midler,V03AX,iscador m serie 0
andre terapeutiske midler,V03AX,helixor m serie 2
andre terapeutiske midler,V03AX,iscador p serie ii
andre terapeutiske midler,V03AX,iscador p serie 0
andre terapeutiske midler,V03AX,iscador qu serie 0
andre terapeutiske midler,V03AX,helixor m
andre terapeutiske midler,V03AX,helixor a serie 1
andre terapeutiske midler,V03AX,iscador p c hg serie ii
andre terapeutiske midler,V03AX,helixor a
difelikefalin,V03AX04,kapruvia
andre diagnostika,V04C,urea sa
metyrapon,V04CD01,metycor
metyrapon,V04CD01,metopirone
somatorelin,V04CD05,ghrh ferring
tuberkulin,V04CF01,tuberkulin ppd sa
indigokarmin,V04CH02,indigocarmin amino
protirelin,V04CJ02,trh ferring
sekretin,V04CK01,chirhostim
midler til allergidiagnostikk,V04CL,spt 115 alder
midler til allergidiagnostikk,V04CL,lofarma guinea pig epithelium
midler til allergidiagnostikk,V04CL,alyostal negativ kontroll
midler til allergidiagnostikk,V04CL,soluprick jordnøtt
midler til allergidiagnostikk,V04CL,dap amoxicillin
midler til allergidiagnostikk,V04CL,soluprick sq hundehår
midler til allergidiagnostikk,V04CL,lofarma alternaria alternata
midler til allergidiagnostikk,V04CL,alyostal d pteronyssinus
midler til allergidiagnostikk,V04CL,lofarma tuna fish
midler til allergidiagnostikk,V04CL,lofarma dog epithelium
midler til allergidiagnostikk,V04CL,lofarma egg white
midler til allergidiagnostikk,V04CL,spt 513 cod
midler til allergidiagnostikk,V04CL,soluprick reke
midler til allergidiagnostikk,V04CL,soluprick sq derm farinae
midler til allergidiagnostikk,V04CL,provokit
midler til allergidiagnostikk,V04CL,lofarma wholewheat flour
midler til allergidiagnostikk,V04CL,lofarma hamster epithelium
midler til allergidiagnostikk,V04CL,lofarma cat epithelium
midler til allergidiagnostikk,V04CL,spt 725 dermatophagoides pteronyssinus
midler til allergidiagnostikk,V04CL,lofarma salmon
midler til allergidiagnostikk,V04CL,lofarma cow lactoalbumin
midler til allergidiagnostikk,V04CL,lofarma dermatophagoides pteronyssinus
midler til allergidiagnostikk,V04CL,soluprick sq raigress
midler til allergidiagnostikk,V04CL,alyostal burot
midler til allergidiagnostikk,V04CL,lofarma aspergillus fumigatus
midler til allergidiagnostikk,V04CL,spt 129 hazel
midler til allergidiagnostikk,V04CL,soluprick sq vepsegift
midler til allergidiagnostikk,V04CL,alyostal katt
midler til allergidiagnostikk,V04CL,spt 108 birch
midler til allergidiagnostikk,V04CL,lofarma hazelnut
midler til allergidiagnostikk,V04CL,allergy therap clad cladosporioides
midler til allergidiagnostikk,V04CL,alyostal hassel
midler til allergidiagnostikk,V04CL,lofarma walnut
midler til allergidiagnostikk,V04CL,lofarma egg yolk
midler til allergidiagnostikk,V04CL,lofarma mackerel
midler til allergidiagnostikk,V04CL,allergy therapeutics guinea pig hair
midler til allergidiagnostikk,V04CL,spt 106 mugwort
midler til allergidiagnostikk,V04CL,soluprick mandel
midler til allergidiagnostikk,V04CL,spt 314 horse epithelia
midler til allergidiagnostikk,V04CL,soluprick sq kattehår
midler til allergidiagnostikk,V04CL,dap penicillin
midler til allergidiagnostikk,V04CL,lofarma cow dander
midler til allergidiagnostikk,V04CL,lofarma cow beta-lactoglobulin
midler til allergidiagnostikk,V04CL,soluprick sq bjørk
midler til allergidiagnostikk,V04CL,allergy therapeutics peas
midler til allergidiagnostikk,V04CL,spt 400 alternaria tenuis
midler til allergidiagnostikk,V04CL,soluprick sq hassel
midler til allergidiagnostikk,V04CL,spt 306 dog epithelia
midler til allergidiagnostikk,V04CL,allergy therapeutics mugwort
midler til allergidiagnostikk,V04CL,lofarma cow casein
midler til allergidiagnostikk,V04CL,soluprick latex
midler til allergidiagnostikk,V04CL,lofarma hazel
midler til allergidiagnostikk,V04CL,allergy therapeutics horse hair
midler til allergidiagnostikk,V04CL,spt 901 negativ control
midler til allergidiagnostikk,V04CL,alyostal 5-gress
midler til allergidiagnostikk,V04CL,true test 36
midler til allergidiagnostikk,V04CL,alk-prick n ragweed
midler til allergidiagnostikk,V04CL,lofarma willow
midler til allergidiagnostikk,V04CL,soluprick eggehvite
midler til allergidiagnostikk,V04CL,soluprick kumelk rå
midler til allergidiagnostikk,V04CL,alyostal or
midler til allergidiagnostikk,V04CL,spt 401 aspergillus fumigatus
midler til allergidiagnostikk,V04CL,lofarma wheat flour
midler til allergidiagnostikk,V04CL,soluprick cladosporium herbarum
midler til allergidiagnostikk,V04CL,soluprick alternaria alternata
midler til allergidiagnostikk,V04CL,spt 309 cat epithelia
midler til allergidiagnostikk,V04CL,spt 708 dermatophagoides farinae
midler til allergidiagnostikk,V04CL,soluprick torsk
midler til allergidiagnostikk,V04CL,lofarma dermatophagoides farinae
midler til allergidiagnostikk,V04CL,soluprick sq timotei
midler til allergidiagnostikk,V04CL,spt 902 positiv control
midler til allergidiagnostikk,V04CL,soluprick hønseegg
midler til allergidiagnostikk,V04CL,lofarma rabbit epithelium
midler til allergidiagnostikk,V04CL,true test 36 specific
midler til allergidiagnostikk,V04CL,soluprick negativ kontroll
midler til allergidiagnostikk,V04CL,alyostal positiv kontroll
midler til allergidiagnostikk,V04CL,alyostal d farinae
midler til allergidiagnostikk,V04CL,soluprick sq bigift
midler til allergidiagnostikk,V04CL,lofarma horse epithelium
midler til allergidiagnostikk,V04CL,lofarma timothy
midler til allergidiagnostikk,V04CL,allergy therapeutics alder
midler til allergidiagnostikk,V04CL,alyostal bjørk
midler til allergidiagnostikk,V04CL,lofarma mugwort
midler til allergidiagnostikk,V04CL,spt 177 timothy grass
midler til allergidiagnostikk,V04CL,lofarma cod
midler til allergidiagnostikk,V04CL,lofarma cladosporium
midler til allergidiagnostikk,V04CL,allergy therap aspergillus fumigatus
midler til allergidiagnostikk,V04CL,lofarma pea
midler til allergidiagnostikk,V04CL,allergy therapeutics rye (cultivated)
midler til allergidiagnostikk,V04CL,alyostal timotei
midler til allergidiagnostikk,V04CL,lofarma aspergillus niger
midler til allergidiagnostikk,V04CL,european baseline series s-1000
midler til allergidiagnostikk,V04CL,alyostal lateks
midler til allergidiagnostikk,V04CL,soluprick hamsterhår
midler til allergidiagnostikk,V04CL,soluprick soyabønne
midler til allergidiagnostikk,V04CL,soluprick sq burot
midler til allergidiagnostikk,V04CL,soluprick hvetemel
midler til allergidiagnostikk,V04CL,allergy therapeutics hazel
midler til allergidiagnostikk,V04CL,lofarma peanut
midler til allergidiagnostikk,V04CL,soluprick positiv kontroll
midler til allergidiagnostikk,V04CL,soluprick sq derma pteronyssinus
gonadorelin,V04CM01,lhrh ferring
gonadorelin,V04CM01,relefact lh-rh
andre diagnostika,V04CX,lithium chloride lidco
andre diagnostika,V04CX,"pbs fosfatbuffer ph 7,3 sa"
indocyaningrønn,V04CX01,verdye orifarm
metakolin,V04CX03,provocholine
metakolin,V04CX03,metakolin sa
mannitol,V04CX04,aridol
13c-urea,V04CX05,helicobacter test infai
13c-urea,V04CX05,helicobacter test infai
heksaminolevulinat,V04CX06,hexvix
karbonmonoksid,V04CX08,icomas
patentblått,V04CX09,bleu patente v vingmed
barnedietter,V06C,enfamil ar
andre nutrientia,V06D,metionin sa
"fett, karbohydrater, proteiner, mineraler, vitaminer",V06DB,ultraclear plus ph
"fett, karbohydrater, proteiner, mineraler, vitaminer",V06DB,ultraclear sustain
"fett, karbohydrater, proteiner, mineraler, vitaminer",V06DB,gi sustain
"fett, karbohydrater, proteiner, mineraler, vitaminer",V06DB,ultraclear plus
glukose,V06DC01,druesukker naf
glukose,V06DC01,lift
alle andre ikke-terapeutiske midler,V07A,etanol sa
alle andre ikke-terapeutiske midler,V07A,"fosfatbuffer ph 7,4 sa"
alle andre ikke-terapeutiske midler,V07A,placebo sa
alle andre ikke-terapeutiske midler,V07A,leppesalve med gul vaselin sa
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,natriumklorid sa
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,etanol apl
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,alk-diluent
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,natriumklorid fresenius kabi
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,sterilt vann baxter viaflo
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,sterile water fresenius kabi
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,natriumklorid b. braun
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,dulbeccos fosfatbuffer sa
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,custodiol
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,sterilt vann b. braun
"oppløsnings-og fortynningsvæsker, inkl. skyllemidler",V07AB,natriumklorid noridem
resistens tablett/lapp med antibiotika til konsentrasjonsbestemmelse,V07AR,laktose sa
andre ikke-terapeutiske hjelpeprodukter,V07AY,e-z-gas
diatrizoinsyre,V08AA01,gastrografin
joheksol,V08AB02,omnipaque
jodiksanol,V08AB09,visipaque
jomeprol,V08AB10,iomeron
etylestre av joderte fettsyrer,V08AD01,lipiodol ultra fluid vingmed
etylestre av joderte fettsyrer,V08AD01,lipiodol ultra fluid
bariumsulfat med suspensjonsmidler,V08BA01,tagitol v
bariumsulfat med suspensjonsmidler,V08BA01,e-z-hd
bariumsulfat med suspensjonsmidler,V08BA01,ez-cat bariumsulfat
bariumsulfat med suspensjonsmidler,V08BA01,neulumex
bariumsulfat med suspensjonsmidler,V08BA01,liquid polibar plus
bariumsulfat med suspensjonsmidler,V08BA01,e-z-paste
gadopentetsyre,V08CA01,magnevist
gadotersyre,V08CA02,artirem
gadotersyre,V08CA02,clariscan
gadotersyre,V08CA02,dotarem
gadoteridol,V08CA04,prohance
gadobensyre,V08CA08,multihance
gadobutrol,V08CA09,gadovist
gadoksetsyre,V08CA10,primovist
"perflutren, mikrosfærer av humant albumin",V08DA01,optison
"svovelheksafluorid, fosfolipidmikrosfærer",V08DA05,sonovue
"perflubutan, fosfolipidmikrosfærer",V08DA06,sonazoid
teknesium (99mtc) mertiatid,V09CA03,nephromag
teknesium (99mtc) sestamibi,V09GA01,sammibi
teknesium (99mtc) tilmanocept,V09IA09,lymphoseek
fluciklovin (18f),V09IX12,axumin
ibritumomabtiuksetan (90y),V10XX02,zevalin
radium (223ra) diklorid,V10XX03,xofigo
lutetium (177lu) oksodotreotid,V10XX04,lutathera
ikke relevant,WITHOUT,kan jang
ikke relevant,WITHOUT,valerina natt
ikke relevant,WITHOUT,plantago bronchialbalsam wala
ikke relevant,WITHOUT,apis/arnica wala d4/d2
ikke relevant,WITHOUT,bronwel comp
ikke relevant,WITHOUT,agropyron globuli velati wala
